;Precio compra;Mercado compra;Precio venta;Mercado venta
2024-01-01 00:00:00;95,31968305135528;MD compra;79,51;Terciaria subir
2024-01-01 00:15:00;95,31968305135528;MD compra;78,25;Terciaria subir
2024-01-01 00:30:00;95,31968305135528;MD compra;82,0;Terciaria subir
2024-01-01 00:45:00;95,31968305135528;MD compra;77,374;RR subir
2024-01-01 01:00:00;85,70234948487273;MD compra;69,162;RR subir
2024-01-01 01:15:00;85,70234948487273;MD compra;75,56;Terciaria subir
2024-01-01 01:30:00;85,70234948487273;MD compra;69,162;RR subir
2024-01-01 01:45:00;85,70234948487273;MD compra;69,162;RR subir
2024-01-01 02:00:00;81,7268604148997;MD compra;63,747;RR subir
2024-01-01 02:15:00;81,7268604148997;MD compra;63,747;RR subir
2024-01-01 02:30:00;81,7268604148997;MD compra;63,747;RR subir
2024-01-01 02:45:00;81,7268604148997;MD compra;63,747;RR subir
2024-01-01 03:00:00;79,73410903540537;MD compra;64,2;Terciaria subir
2024-01-01 03:15:00;79,73410903540537;MD compra;63,817;RR subir
2024-01-01 03:30:00;79,73410903540537;MD compra;63,817;RR subir
2024-01-01 03:45:00;79,73410903540537;MD compra;63,817;RR subir
2024-01-01 04:00:00;80,87327219034309;MD compra;75,56;Terciaria subir
2024-01-01 04:15:00;80,87327219034309;MD compra;64,8;Terciaria subir
2024-01-01 04:30:00;80,87327219034309;MD compra;64,8;Terciaria subir
2024-01-01 04:45:00;80,87327219034309;MD compra;64,8;Terciaria subir
2024-01-01 05:00:00;0,0;Terciaria bajar;67,779;RR subir
2024-01-01 05:15:00;82,22982098711769;MD compra;67,779;RR subir
2024-01-01 05:30:00;82,22982098711769;MD compra;67,779;RR subir
2024-01-01 05:45:00;42,5;Terciaria bajar;67,779;RR subir
2024-01-01 06:00:00;5,0;Terciaria bajar;64,3;RR subir
2024-01-01 06:15:00;5,0;Terciaria bajar;64,3;RR subir
2024-01-01 06:30:00;81,72114463826777;MD compra;64,3;RR subir
2024-01-01 06:45:00;81,72114463826777;MD compra;64,3;RR subir
2024-01-01 07:00:00;79,26499840132021;MD compra;70,0;Terciaria subir
2024-01-01 07:15:00;79,26499840132021;MD compra;63,31;Terciaria subir
2024-01-01 07:30:00;79,26499840132021;MD compra;63,31;Terciaria subir
2024-01-01 07:45:00;79,26499840132021;MD compra;59,13;RR subir
2024-01-01 08:00:00;0,0;RR bajar;43,37;MD venta
2024-01-01 08:15:00;0,0;RR bajar;43,37;MD venta
2024-01-01 08:30:00;0,0;RR bajar;43,37;MD venta
2024-01-01 08:45:00;0,0;RR bajar;43,37;MD venta
2024-01-01 09:00:00;76,77414485762135;MD compra;85,84;RR subir
2024-01-01 09:15:00;0,0;Terciaria bajar;85,84;RR subir
2024-01-01 09:30:00;0,2;Terciaria bajar;85,84;RR subir
2024-01-01 09:45:00;0,0;Terciaria bajar;85,84;RR subir
2024-01-01 10:00:00;0,0;RR bajar;25,0;MD venta
2024-01-01 10:15:00;0,0;RR bajar;25,0;MD venta
2024-01-01 10:30:00;0,0;RR bajar;25,0;MD venta
2024-01-01 10:45:00;0,0;Terciaria bajar;25,0;MD venta
2024-01-01 11:00:00;28,699171910736112;MD compra;45,0;Terciaria subir
2024-01-01 11:15:00;28,699171910736112;MD compra;33,2;Terciaria subir
2024-01-01 11:30:00;0,0;Terciaria bajar;3,9;MD venta
2024-01-01 11:45:00;0,0;Terciaria bajar;3,9;MD venta
2024-01-01 12:00:00;0,0;Terciaria bajar;3,2;MD venta
2024-01-01 12:15:00;0,0;Terciaria bajar;3,2;MD venta
2024-01-01 12:30:00;0,0;Terciaria bajar;3,2;MD venta
2024-01-01 12:45:00;0,0;Terciaria bajar;3,2;MD venta
2024-01-01 13:00:00;0,0;Terciaria bajar;2,06;MD venta
2024-01-01 13:15:00;0,0;Terciaria bajar;2,06;MD venta
2024-01-01 13:30:00;0,0;Terciaria bajar;2,06;MD venta
2024-01-01 13:45:00;0,0;Terciaria bajar;2,06;MD venta
2024-01-01 14:00:00;25,216710794025893;MD compra;1,73;MD venta
2024-01-01 14:15:00;0,0;Terciaria bajar;1,73;MD venta
2024-01-01 14:30:00;0,0;Terciaria bajar;1,73;MD venta
2024-01-01 14:45:00;0,0;Terciaria bajar;1,73;MD venta
2024-01-01 15:00:00;0,0;Terciaria bajar;63,31;RR subir
2024-01-01 15:15:00;0,0;Terciaria bajar;63,31;RR subir
2024-01-01 15:30:00;0,0;RR bajar;63,31;RR subir
2024-01-01 15:45:00;0,0;RR bajar;63,31;RR subir
2024-01-01 16:00:00;2,218;RR bajar;70,652;RR subir
2024-01-01 16:15:00;2,218;RR bajar;72,8;Terciaria subir
2024-01-01 16:30:00;2,218;RR bajar;85,0;Terciaria subir
2024-01-01 16:45:00;2,218;RR bajar;105,0;Terciaria subir
2024-01-01 17:00:00;67,80875670678783;MD compra;75,186;RR subir
2024-01-01 17:15:00;67,80875670678783;MD compra;76,4;Terciaria subir
2024-01-01 17:30:00;67,80875670678783;MD compra;76,4;Terciaria subir
2024-01-01 17:45:00;67,80875670678783;MD compra;76,4;Terciaria subir
2024-01-01 18:00:00;73,4254379517793;MD compra;72,8;Terciaria subir
2024-01-01 18:15:00;73,4254379517793;MD compra;79,58;Terciaria subir
2024-01-01 18:30:00;73,4254379517793;MD compra;86,41;Terciaria subir
2024-01-01 18:45:00;73,4254379517793;MD compra;86,94;Terciaria subir
2024-01-01 19:00:00;77,55596479299156;MD compra;72,12;RR subir
2024-01-01 19:15:00;77,55596479299156;MD compra;73,0;Terciaria subir
2024-01-01 19:30:00;77,55596479299156;MD compra;79,59;Terciaria subir
2024-01-01 19:45:00;77,55596479299156;MD compra;83,32;Terciaria subir
2024-01-01 20:00:00;83,2503989925479;MD compra;86,52;Terciaria subir
2024-01-01 20:15:00;83,2503989925479;MD compra;84,52;Terciaria subir
2024-01-01 20:30:00;83,2503989925479;MD compra;90,2;Terciaria subir
2024-01-01 20:45:00;83,2503989925479;MD compra;78,7;Terciaria subir
2024-01-01 21:00:00;82,45227101834124;MD compra;79,51;Terciaria subir
2024-01-01 21:15:00;82,45227101834124;MD compra;75,74;Terciaria subir
2024-01-01 21:30:00;82,45227101834124;MD compra;72,12;Terciaria subir
2024-01-01 21:45:00;82,45227101834124;MD compra;71,916;RR subir
2024-01-01 22:00:00;68,04434871521069;MD compra;69,535;RR subir
2024-01-01 22:15:00;68,04434871521069;MD compra;69,535;RR subir
2024-01-01 22:30:00;14,64;Terciaria bajar;69,535;RR subir
2024-01-01 22:45:00;11,1;Terciaria bajar;69,535;RR subir
2024-01-01 23:00:00;0,0;RR bajar;60,79;RR subir
2024-01-01 23:15:00;0,0;RR bajar;60,79;RR subir
2024-01-01 23:30:00;0,0;RR bajar;60,79;RR subir
2024-01-01 23:45:00;0,0;Terciaria bajar;60,79;RR subir
2024-01-02 00:00:00;0,0;RR bajar;59,9;RR subir
2024-01-02 00:15:00;0,0;RR bajar;59,9;RR subir
2024-01-02 00:30:00;0,0;Terciaria bajar;59,9;RR subir
2024-01-02 00:45:00;0,0;Terciaria bajar;59,9;RR subir
2024-01-02 01:00:00;0,0;RR bajar;43,99;Terciaria subir
2024-01-02 01:15:00;0,0;RR bajar;25,0;MD venta
2024-01-02 01:30:00;0,0;RR bajar;33,99;Terciaria subir
2024-01-02 01:45:00;0,0;RR bajar;43,99;Terciaria subir
2024-01-02 02:00:00;36,19124044053101;MD compra;59,9;Terciaria subir
2024-01-02 02:15:00;36,19124044053101;MD compra;59,9;Terciaria subir
2024-01-02 02:30:00;36,19124044053101;MD compra;3,99;MD venta
2024-01-02 02:45:00;0,0;Terciaria bajar;3,99;MD venta
2024-01-02 03:00:00;0,0;Terciaria bajar;14,0;MD venta
2024-01-02 03:15:00;0,0;Terciaria bajar;14,0;MD venta
2024-01-02 03:30:00;0,0;Terciaria bajar;14,0;MD venta
2024-01-02 03:45:00;0,0;RR bajar;14,0;MD venta
2024-01-02 04:00:00;0,0;RR bajar;14,54;Terciaria subir
2024-01-02 04:15:00;0,0;RR bajar;14,54;Terciaria subir
2024-01-02 04:30:00;0,0;RR bajar;54,54;Terciaria subir
2024-01-02 04:45:00;0,0;RR bajar;59,9;Terciaria subir
2024-01-02 05:00:00;0,0;RR bajar;59,9;Terciaria subir
2024-01-02 05:15:00;0,0;RR bajar;14,54;MD venta
2024-01-02 05:30:00;0,0;RR bajar;59,9;Terciaria subir
2024-01-02 05:45:00;0,0;RR bajar;59,9;Terciaria subir
2024-01-02 06:00:00;0,0;Terciaria bajar;36,29;MD venta
2024-01-02 06:15:00;12,829;RR bajar;36,29;MD venta
2024-01-02 06:30:00;12,829;RR bajar;71,8;Terciaria subir
2024-01-02 06:45:00;12,829;RR bajar;79,4;Terciaria subir
2024-01-02 07:00:00;69,03730663321046;MD compra;60,7;RR subir
2024-01-02 07:15:00;69,03730663321046;MD compra;60,7;Terciaria subir
